file_name,table_name,rows_loaded,status
companies.xlsx,companies,92,success
sectors.xlsx,sectors,92,success
financial_ratios.xlsx,financial_ratios,1160,success
balancesheet.xlsx,balance_sheet,1227,success
profitandloss.xlsx,profit_loss,1177,success
cashflow.xlsx,cash_flow,1098,success
stock_prices.xlsx,stock_prices,5520,success
market_cap.xlsx,market_cap,552,success
peer_groups.xlsx,peer_groups,56,success
documents.xlsx,documents,1457,success
analysis.xlsx,analysis,16,success
prosandcons.xlsx,pros_cons,14,success
