TCS | 2025 | ROE | ZERO_DIVISION | Returned None due to division by zero
INFY | 2024 | ROCE | EXTREME_RATIO | Value too high: 1500
WIPRO | 2023 | ROE | EXTREME_NEGATIVE | Value too low: -200
RELIANCE | 2025 | EQUITY | NEGATIVE_BASE | Equity <= 0: -500
TATASTEEL | 2025 | DATA | MISSING_FIELD | Missing fields: profit, equity
ABB | Dec 2012 | ICR | ZERO_DIVISION | Returned None due to division by zero
ABB | Mar 2014 | ICR | ZERO_DIVISION | Returned None due to division by zero
ABB | Mar 2015 | ICR | ZERO_DIVISION | Returned None due to division by zero
ADANIENSOL | Mar 2014 | NPM | ZERO_DIVISION | Returned None due to division by zero
ADANIENSOL | Mar 2014 | OPM | ZERO_DIVISION | Returned None due to division by zero
ADANIENSOL | Mar 2014 | ICR | ZERO_DIVISION | Returned None due to division by zero
ADANIENSOL | Mar 2014 | ASSET_TURNOVER | ZERO_DIVISION | Returned None due to division by zero
ADANIPOWER | Mar 2017 | ROE | EXTREME_NEGATIVE | Value too low: -205.79999999999998
ADANIPOWER | Mar 2018 | ROE | EXTREME_NEGATIVE | Value too low: -236.55793025871765
BAJAJ-AUTO | Mar 2013 | ICR | EXTREME_RATIO | Value too high: 3656.0
BAJAJ-AUTO | Mar 2014 | ICR | EXTREME_RATIO | Value too high: 4163.0
BAJAJ-AUTO | Mar 2016 | ICR | EXTREME_RATIO | Value too high: 4793.0
BAJAJ-AUTO | Mar 2017 | ICR | EXTREME_RATIO | Value too high: 4429.0
BAJAJ-AUTO | Mar 2018 | ICR | EXTREME_RATIO | Value too high: 4846.0
BAJAJ-AUTO | Mar 2019 | ICR | EXTREME_RATIO | Value too high: 1299.5
BAJAJ-AUTO | Mar 2020 | ICR | EXTREME_RATIO | Value too high: 1703.0
BAJAJHLDNG | Mar 2013 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2014 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2015 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2016 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2017 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2018 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJAJHLDNG | Mar 2019 | ICR | ZERO_DIVISION | Returned None due to division by zero
BAJFINANCE | Mar 2020 | ICR | EXTREME_RATIO | Value too high: 1017.67
BAJFINANCE | Mar 2021 | ICR | EXTREME_RATIO | Value too high: 3613.0
BAJFINANCE | Mar 2022 | ICR | EXTREME_NEGATIVE | Value too low: -698.82
BAJFINANCE | Mar 2023 | ICR | EXTREME_NEGATIVE | Value too low: -2538.6
BAJFINANCE | Mar 2024 | ICR | EXTREME_RATIO | Value too high: 2683.17
BEL | Mar 2013 | ROE | EXTREME_RATIO | Value too high: 15183.333333333334
BEL | Mar 2014 | ROE | EXTREME_RATIO | Value too high: 13600.0
BEL | Mar 2015 | ROE | EXTREME_RATIO | Value too high: 17100.0
BEL | Mar 2016 | ROE | EXTREME_RATIO | Value too high: 11141.666666666668
BEL | Mar 2017 | ROE | EXTREME_RATIO | Value too high: 10153.333333333334
BEL | Mar 2018 | ROE | EXTREME_RATIO | Value too high: 4616.129032258064
BEL | Mar 2019 | ROE | EXTREME_RATIO | Value too high: 3851.020408163265
BEL | Mar 2020 | ROE | EXTREME_RATIO | Value too high: 3318.181818181818
BEL | Mar 2021 | ROE | EXTREME_RATIO | Value too high: 3559.322033898305
BEL | Mar 2022 | ROE | EXTREME_RATIO | Value too high: 3478.260869565217
BEL | Mar 2023 | ROE | EXTREME_RATIO | Value too high: 3981.333333333333
